raw_answer,Code,Category
"Upload better quality pre-recorded videos, use a more easily used video player platform (the videos uploaded on YouTube were much more enjoyable and easier to navigate than the ones uploaded on the custom VU video player)","prerecorded, platform",prerecorded
There should not be any last minute changes on the assignments,assignments,"out_of scope, course_structure"
"Answer the most prominent Q&A questions offline, and rather have Zoom meetings for discussions of the course material, including papers. Instead of answering student questions, ask questions to students. It can be hard online, but it is definitely feasible.
Maybe try to be more creative, instead of Zoom, you could use a more interactive setting. There are success stories of teachers giving lectures inside video games/virtual environments.",swap_qa_lecture,"tech_setting, incentive_inperson, 3d"
"While I personally would rather not have a hybrid system again, I understand why students might prefer it. So one way to improve that would be something like a student microphone. In my old university, they used to have a cube with a built-in microphone that was very well-protected and could be thrown through the lecture hall in order to shorten the time until a student received the microphone. That worked quite well.
Additionally, I would prefer live lectures we can engage with over the pre-recorded style, which is just very bland and boring to me.",microphone,tech_setting
The lectures should be in person followed by a Q&A session either online or on campus.,course_structure,course_structure
"Although there are recorded lectures, maybe you could list the important content in each class instead of just answering questions.",swap_qa_lecture,course_structure
Having the practical on a Tuesday is not the best as it feels like we are always one week behind with work.  Maybe switch the presentations to Tuesdays and have the practicals on Fridays. That way we can also eliminate the need for the 5 minutes session during the first week.,-,"out_of scope, course_structure"
Give more space to online students,-,
"Have all the deadlines shown from the start, even to submit the Q&A Questions, it helps to keep more organization on times",-,"out_of scope, course_structure"
Have two separate classes,,split_online_inperson
"The lecture can be heard perfectly, but improving the audio quality of other people in the room when they speak",audio,tech_setting
Record lectures for analysis later,out_of_scope,out_of_scope
Record recent lectures for the purpose of hybrid teaching,prerecorded,prerecorded
Rerecord the video lectures with better quality and better pacing (especially remove the 15 minute breaks),prerecorded,prerecorded
Give higher priority to online students,online_first,online_first
More detailed description of assignments,,"out_of scope, course_structure"
the lectures could be pre-recorded this year but not several years ago,prerecorded,prerecorded
"Re-do the recorded lectures. The spoken content wasn't really in line with the content shown in the slides (especially the first 4 weeks). 
Some sort of live information sharing would be nice apart from the pre recorded lectures, instead of basing the live lectures merely on the Q&A. ","prerecorded, swap_qa_lecture","prerecorded, swap_qa_lecture"
it seems already very easy to follow online,online_first,online_first
"new recordings, clear assignment descriptions, instead of QnAs -> extra lectures on specific topics like decision maps. Make use of the break out rooms for discussions with students",qa,"course_structure, prerecorded, brakeout, qa"
I dont know how but maybe some sort of incentive to come in-person. ,,incentive_inperson
"I think the hybrid part is nice, but the Q&A system is not really. I would have liked it the most if the lectures would not have been pre-recorded but in-person/live. This would enable for live ad hoc questions in stead of submitting questions that are answered a few days later. ",qa,swap_qa_lecture
"Do not pre-record the classes, or make them more appealing. They were often very unmotivated, the teachers also seemed unmotivated. It would be more fun to have an actual  lecture (in-person) or guest lecture, and ask questions during the lecture instead of watching it online and hand in questions digitally",prerecorded,prerecorded
"Instead of having to watch pre-recorded lectures, having an actual lecture during the scheduled sessions is preferred. Also, explain the assignments more in detail during the lecture. It would have been nice if time would have been spent on explaining, for example, how to make a decision map.",prerecorded,prerecorded
