Which course did you follow?,Did you follow the course more frequently in-person or online? ,"Based on your previous answer, why did you follow the course more frequently in-person / online?",Which type of class did you prefer to follow in-person and online?  [Q&A Sessions],Which type of class did you prefer to follow in-person and online?  [Student Presentations],Which type of class did you prefer to follow in-person and online?  [Guest lectures],Which type of class did you prefer to follow in-person and online?  [TA Sessions],How satisfied were you with the following course components? [Recorded lectures],How satisfied were you with the following course components? [Guest Lectures],How satisfied were you with the following course components? [Q&A sessions],How satisfied were you with the following course components? [Menti quizzes],How satisfied were you with the following course components? [TA sessions],"How satisfied were you with the following course components? [Canvas (content organization, discussions, etc.)]","Which difficulties did you experience related to following the classes in-person? (Indicate ""none"" if you had not difficulties)","Which difficulties did you experience related to following the classes online? (Indicate ""none"" if you had not difficulties)",In which format would you prefer future courses?,Do you have suggestions on how we could improve the virtualization of the course next year?,Any further comment or observation?
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Easier to schedule",Online,Online,Online,In-person,Unsatisfied,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,none,none,Hybrid,"Upload better quality pre-recorded videos, use a more easily used video player platform (the videos uploaded on YouTube were much more enjoyable and easier to navigate than the ones uploaded on the custom VU video player)","For recorded lectures: It would be more preferable if the lecture videos were more up to date and recorded for the current year. Also, when questions from the audience are asked or answers are given, most of the time the sound of them is not high enough for us to follow along and so we can mostly hear only what the professor has to say in response to that question/answer. So, at least for the pre-recorded videos, I would prefer if some text/captions were given for those parts, whenever this is possible."
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Better focus, Easier to schedule",Online,Online,Online,Online,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,None ,None ,Online only,,
Digitalization and Sustainability (D&S),Online,"Convenience, Commuting (already on campus/at home), Not based in Amsterdam, Easier to schedule",Online,Online,Online,In-person,Unsatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,None,Zoom links expiring mid-course,Hybrid,,
Service Oriented Design (SOD),In-person,"Commuting (already on campus/at home), Better focus, Interaction with class, Interaction with other students, Interaction with instructors",In-person,In-person,In-person,In-person,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,lower audio,none,In-person only,,
Service Oriented Design (SOD),In-person,"Commuting (already on campus/at home), Better focus",Online,In-person,In-person,In-person,Neutral,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,,,Hybrid,,
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Better focus, Easier to schedule, Interaction with instructors",Online,Online,Online,In-person,Satisfied,Satisfied,Neutral,Unsatisfied,Neutral,Satisfied,none,Sometimes there were audio issues,Hybrid,There should not be any last minute changes on the assignments,No
Service Oriented Design (SOD),In-person,"Better focus, Interaction with class, Interaction with other students, Interaction with instructors",In-person,In-person,In-person,In-person,Very Satisfied,Satisfied,Satisfied,Unsatisfied,Very Satisfied,Very Satisfied,"I felt annnoyed when some students would speak just for the sake of speaking. I believe we should listen to the professor first and understand what she has to say before we make any remark/comment. Otherwise, I truly enjoyed the course.",In-person were lot better than online classes. I attended a few online classes and it was not even close to the interaction you felt while being in-class.,In-person only,,"I believe the pre-recorded lectures are nice to have along with the presentation slides. Even if we should switch to all in-person classes from next year, the always-available materials were a big help."
Digitalization and Sustainability (D&S),Online,Commuting (already on campus/at home),Online,In-person,Online,In-person,Unsatisfied,Satisfied,Very Unsatisfied,Neutral,Satisfied,Neutral,"The TA feedback was valuable, but the group and I were having difficulties starting with the work, as the video lectures didn't explain the task very well. So I would have prefered some general 'lecturing' specifically about the project in these sessions.",A clip-on microphone could solve the weak audio issues! ,Hybrid,"Answer the most prominent Q&A questions offline, and rather have Zoom meetings for discussions of the course material, including papers. Instead of answering student questions, ask questions to students. It can be hard online, but it is definitely feasible.
Maybe try to be more creative, instead of Zoom, you could use a more interactive setting. There are success stories of teachers giving lectures inside video games/virtual environments.","The audio of the lecture videos isn't very good. The slides often contained too much information that was not talked about by the teacher after all, its confusing and I constantly read the background instead of listening."
Service Oriented Design (SOD),Online,"Convenience, Commuting (already on campus/at home), Easier to schedule",Online,In-person,In-person,Online,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,none,none,Hybrid,,
Digitalization and Sustainability (D&S),Online,"Convenience, didn't wanna be only one of a few students in the classroom; was already used to attending online",Online,Online,Online,In-person,Unsatisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,None,None,In-person only,,"The quality of guest lectures varied, I enjoyed the lecture and Q&A by Philip Pattberg a lot!"
